post_id,post_text,post_url,time,like,love,haha,wow,care,sad,angry,share
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,2022-02-06 17:30:48,65,1,2,0,0,1,0,6
6825858720817716,"Sáng nay chia giỏ hàng và thông báo CSBH dự án THE GLOBAL CITY - Tình hình nóng sốt không các anh em .
Cập nhật 1 vài thông tin nhé 😂
Hóng giá , hóng chênh ….
Cập nhật : Giá 400tr/m2 có VAT",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6825858720817716/,2022-02-25 09:56:05,370,4,2,7,1,0,0,2
6821126851290903,"Làm sale bao lâu cũng tích cop dc ít (nhờ biết cách xin bố mẹ)
TC 1t quay đầu giờ đầu tư đâu 1 năm dc AC
Em xin ý để dtu nghiêm túc k dò thị trường ạ.",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6821126851290903/,2022-02-24 11:07:16,55,2,1,1,1,0,0,1
6828074313929490,"Ngắm bikini mãi cũng chán. Hy vọng post này hữu ích cho AE trước khi cưới một cô vợ hai ở biển. Post được chia làm 3 phần: bão biển, bãi tắm, và xói lở.

P1. Biển nào chịu bão nhiều nhất ?

Theo thống kê trong vòng 70 năm qua (1949 - 2019), các tỉnh sau đây có số lần bão thăm viếng nhiều nhất (nguồn TCPT Thiên tai).
Quảng Ninh: 30
Thanh Hóa: 23
Nghệ An: 18
Hà Tĩnh: 24
Đà Nẵng: 41
Quảng Bình: 22
Bình Định: 18
Khánh Hòa: 32

Cũng có thể chia thành 5 vùng theo mức độ ảnh hưởng giảm dần từ bắc vào nam. Đầu năm bão thường vào các tỉnh phía bắc và chuyển dần vào các tỉnh miền trung và nam vào cuối năm.

Vùng I: Quảng Ninh – Thanh Hóa
Là vùng có số cơn bão đổ bộ và ảnh hưởng nhiều nhất, trung bình 1,0 – 1,5 cơn/năm. Mùa bão từ tháng 6 - 8. Bão lớn nhất (đã ghi nhận) cấp 15.

Vùng II: Nghệ An – Thừa Thiên Huế
Trung bình 1,0 – 1,2 cơn/năm. Mùa bão tập trung vào các tháng 8 - 10. Bão lớn nhất cấp 13.

Vùng III: Đà Nẵng – Bình Định
Trung bình 1,0 cơn/năm. Mùa bão tập trung vào tháng 9, 10. Bão lớn nhất cấp 13.

Vùng IV: Phú Yên – Khánh Hòa
Trung bình 0,6 cơn/năm. Mùa bão tập trung vào tháng 11, 12. Bão lớn nhất cấp 13.

Vùng V: Ninh Thuận – Cà Mau
Là vùng ít bão nhất, mùa bão vào tháng 11, 12 đến 1 năm sau. Bão lớn nhất cấp 10.

Ngoài ra sẽ còn nguy hiểm hơn nếu nhà bạn ở mặt tiền và có thêm một trong các yếu tố sau:
- trên vùng biển hở (biển phía trước không bị che chắn bởi đảo, núi hay công trình);
- nằm ở vùng biển sâu;
- cao độ mặt đất thấp;
- ở gần các cửa sông lớn (miền trung);
-…
Trong các trường hợp trên lời khuyên là bạn nên giữ một khoảng cách an toàn với em ấy (lùi xa ra phía sau)

(Còn tiếp)
Tác giả : Thieu Quang Tuan",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6828074313929490/,2022-02-25 20:40:54,27,1,3,0,0,0,0,2
6798921736844748,"Nguồn tin cần đồng đội xác nhận.
—
Cầu Nhơn Trạch( thuộc vành đai 3, cuối tháng 3 làm rồi) ?
16/02/2022 đã nộp hồ sơ thầu. Thời gian chọn thầu là 30 ngày. Sau đó động thổ ?
——

Bạn MG địa phương nhắn nên mình nhờ anh (em) trong hội trên thông thiên văn- dưới tường địa lý xác nhận giúp ạ. Em không khuyến nghị MUA - BÁN gì cả .",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6798921736844748/,2022-02-20 06:33:23,159,2,24,3,1,0,0,2
6829970597073195,"1️⃣ Bất động sản nghỉ dưỡng: Khó đoán định

Ông Nguyễn Hoàng, Giám đốc Nghiên cứu & Phát triển (R&D) DKRA Vietnam đánh giá, về cơ bản, thị trường bất động sản sẽ phụ thuộc vào tình hình kiểm soát dịch bệnh và phát triển kinh tế nói chung.

Theo vị chuyên gia này, đất nền các tỉnh giáp ranh TP HCM (hoặc các tỉnh thành lớn) vẫn là kênh ưu tiên hàng đầu mặc dù có thể nguồn cung mới sẽ không bằng như những năm trước do nhiều địa phương đang rà soát và siết chặt lại việc phân lô bán nền,...

Mặt bằng bán lẻ vẫn còn nhiều thách thức do mức giá thuê đã quá cao từ năm 2019 về trước. Trong giai đoạn dịch bệnh và siết chặt giãn cách xã hội, xu hướng mua sắm online được đẩy mạnh, nhu cầu mặt bằng bán lẻ cũng bị hạn chế.

Bất động sản nghỉ dưỡng tiếp tục phụ thuộc vào sự phát triển của du lịch. Theo nhiều dự báo, phải đến năm 2023 ngành du lịch mới có thể quay trở lại như năm 2019 trở về trước và khi đó bất động sản nghỉ dưỡng mới sôi động trở lại. Dù vậy, một số dự án bất động sản nghỉ dưỡng có thế mạnh vượt trội và tiềm năng thì vẫn có tín hiệu tích cực.

Đồng quan điểm, ông Nguyễn Quốc Anh, Phó Tổng giám đốc Batdongsan.com.vn cho rằng, thị trường bất động sản 2022 sẽ có nhiều sự phục hồi hơn so với các giai đoạn trước..

""Riêng chỉ có bất động sản nghỉ dưỡng, khả năng phục hồi còn phụ thuộc vào tốc độ mở cửa của nền kinh tế. Tuy nhiên, hộ chiếu vắc xin kỳ vọng sẽ hỗ trợ cho thị trường hồi phục trở lại"", vị này nói.

2️⃣ Bất động sản nhà ở: Tiếp đà tăng giá

Bà Dương Thùy Dung, Giám đốc cấp cao CBRE dự báo, trong thời gian tới, xu hướng tăng giá sẽ tiếp tục diễn ra đối với thị trường căn hộ bán và nhà ở gắn liền với đất tại Hà Nội và TP HCM.

Cụ thể, giá căn hộ sẽ tăng khoảng 3 – 7% tùy từng phân khúc trong năm 2022. Riêng phân khúc cao cấp và hạng sang, mức giá có thể tăng trưởng khoảng 5 – 7%. Còn phân khúc bình dân và trung cấp, mức giá có thể tăng khoảng 3 – 5%.

Vị chuyên gia này dự báo, thị trường căn hộ năm sau sẽ đón nhận số lượng dự án gấp đôi so với 9 tháng năm 2021. Tương tự với thị trường nhà ở gắn liền với đất, nguồn cung dự báo sẽ tăng trưởng khoảng 20 – 30%.

""Tuy nhiên, trong hai năm tới, thị trường sẽ tiếp tục có sự lệch pha cung cầu. Bên cạnh đó, những chi phí liên quan đến đất, nhân công, xây dựng,... sẽ không giảm đi mà sẽ tiếp tục tăng. Do đó, giá bất động sản sẽ tiếp tục xu hướng tăng"", bà Dung nhận định.

3️⃣ Bất động sản công nghiệp: Nhiều điểm sáng

Theo nhận định của ông David Jackson, Tổng Giám Đốc Colliers, bất động công nghiệp là một trong những phân khúc sẽ có nhiều ưu thế để lấy lại và tiếp tục đà tăng trưởng mạnh mẽ ngay trong năm 2022.

Đồng quan điểm, ông Chí Vũ, Trưởng Bộ phận Môi giới Dịch vụ Khu Công nghiệp đánh giá: ""Trong năm 2022, nhiều khả năng bất động sản công nghiệp sẽ tiếp tục tỏa sáng. Sự chuyển dịch sản xuất từ Trung Quốc cũng như một loạt Hiệp định Thương mại Tự do (FTA) được ký kết đã làm gia tăng nhu cầu về đất công nghiệp trên cả nước. Bên cạnh đó, các dịch vụ nhà xưởng, kho bãi, với đà tăng trưởng mạnh mẽ của thương mại điện tử, mảng dịch vụ logistics cũng hứa hẹn tiềm năng lớn"".

Còn theo dự báo của CBRE, trong giai đoạn 2022 - 2023, nguồn cung đất công nghiệp sẽ tăng thêm hơn 7.000 ha cho cả hai thị trường. Trong đó, các tỉnh công nghiệp cấp 2 sẽ lần lượt chiếm khoảng 20 - 30% nguồn cung miền Nam và miền Bắc.

Theo Vietnambiz",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6829970597073195/,2022-02-26 06:12:43,1,0,0,0,0,0,0,0
6827312864005635,Ngày tốt toàn CĐT lớn ra siêu phẩm. Merry land Quy Nhơn rumor 15 tỷ/căn booking 200 củ. Ace Hưng Thịnh đâu cả rồi ạ 😎😎😎,https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6827312864005635/,2022-02-25 17:21:10,171,4,12,1,0,0,0,0
6825785930824995,"KHAN HIẾM OFFICETEL TẠI THUẬN AN, CƠ HỘI NÀO CHO CÁC NĐT TRONG NĂM 2022?

Tại TP.HCM, officetel - mô hình nhà ở kết hợp văn phòng đã quá quen thuộc, một thời “gây sốt” với nhiều dự án của các ông lớn. Thế nhưng, tại thị trường tiềm năng như Thuận An, dòng sản phẩm này lại đang khá khan hiếm. Liệu đây có được xem là cơ hội cho các NĐT săn đón dòng sản phẩm đa năng “2 trong 1” này trong năm 2022?

Nhiều chuyên gia dự đoán năm nay, dòng sản phẩm officetel cao cấp sẽ khởi đầu xu hướng tại Thuận An. Nhu cầu thuê/mua officetel sẽ lớn hơn. Bởi các doanh nghiệp vừa và nhỏ sẽ “bắt đầu” lại sau khủng hoảng Covid, đặc biệt là startup gen Z sẽ ưu tiên chọn officetel để làm văn phòng. Ngoài ra, thị trường mở cửa, số lượng các nhà đầu tư nước ngoài về đây đầu tư sẽ tăng cao.

Officetel được xem sẽ khai phóng không gian sáng tạo cho giới trẻ và NĐT khi sở hữu sản phẩm độc tôn “Mua 1 được 2”. Mô hình đầu tư này được đánh giá đa dạng hơn so với văn phòng truyền thống, là đối thủ cạnh tranh với các toà nhà văn phòng.

Ưu điểm của officetel là thiết kế thông minh, vừa đảm bảo môi trường làm việc hiện đại, vừa đạt chuẩn căn hộ tiện nghi với đầy đủ phòng khách, phòng nghỉ, bếp,… Ngoài ra, còn được hưởng nhiều tiện ích ngay dưới chân nhà như hồ bơi, phòng gym, yoga, khu vui chơi, nhà hàng, giải trí, mua sắm….

Nói về tầm giá thì những năm gần đây, officetel thường có mức giá cao hơn căn hộ thông thường, bởi ảnh hưởng từ giá vật liệu xây dựng đang neo cao, trong khi giá đất dự án lại không đổi. Nhưng nhìn về Thuận An, thì tầm giá officetel tại đây lại đang khá hấp dẫn, trong mức 35-40tr/m2, mềm hơn so với khu vực TP.HCM. Nếu có dự án nào mà đơn giá officetel thấp hơn căn hộ cùng dự án thì thật sự đáng đề quan tâm, vì sẽ phù hợp với lực tiếp cận của nhà đầu tư.

Tuy nhiên, có 1 lưu ý là không phải dự án căn hộ nào ở Thuận An cũng thích hợp để phát triển mô hình officetel. Phải là những công trình trung tâm, sở hữu vị trí tốt, thuận lợi về giao thông, khu vực kinh doanh phát triển… mới thực sự đem đến cơ hội đầu tư hấp dẫn.

Các bác đánh giá thế nào về tiềm năng của officetel ở Thuận An trong năm 2022? Có dự án nào hiện tại đáng cân nhắc để đầu tư? Xin mời anh em cùng bàn luận!!!",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6825785930824995/,2022-02-25 09:34:19,15,1,0,0,0,0,0,0
6828529147217340,"Cập nhật giá shophouse (riêng lẻ, không nằm ở khối đế chung cư) tại một số dự án thuộc TP Thủ Đức. Lưu ý mức giá rao bán chỉ dùng để tham khảo!

Trong đó các căn shophouse bên trục Nguyễn Cơ Thạch thuộc KĐT Sala đang được chào bán giá lên đến 800 triệu/m2, có thể liệt vào diện dự án có giá shophouse cao bậc nhất tại TP.HCM hiện nay. Mức giá shophouse tại đây tăng rất cao theo từng năm.

Một dự án vừa ra mắt hơn 70 căn shophouse là The Global City cũng đã thiết lập mặt bằng giá mới cho khu vực An Phú với giá trung bình 400 triệu/m2, cao hơn rất nhiều so với giá shophouse ở dự án Lakeview City nằm đối diện.

Ở phía trục QL13, shophouse dự án Vạn Phúc City đang có giá bán cũng khá cao với khoảng 310 triệu/m2.",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6828529147217340/,2022-02-25 22:42:00,51,1,1,3,0,0,0,3
6821866327883622,"Giờ chiến tranh rồi, lạm phát rồi đó, BĐS có giảm vài phát ko?Những sale luôn mồm hô hào tăng giá ko ngừng nghỉ đâu phân tích chém tiếp đi.Sale đúng nghĩa ko phải kẻ vỗ tay khen khách tài mà đôi khi cần cảnh báo từ xa dù nghe hơi ngứa",https://m.facebook.com/groups/reviewbatdongsanaz/permalink/6821866327883622/,2022-02-24 14:56:46,412,3,118,4,2,0,2,5
